infos,value,modele
beta,0.5,nmf_frobenius
nb_topic_before_agg,75.0,nmf_frobenius
nb_topic_after_agreg,19.0,nmf_frobenius
min_ngram,2.0,nmf_frobenius
max_ngram,3.0,nmf_frobenius
loss_fct,0.4646569438378145,nmf_frobenius
beta,0.5,top2vec
nb_topic_before_agg,153.0,top2vec
nb_topic_after_agreg,19.0,top2vec
min_ngram,2.0,top2vec
max_ngram,3.0,top2vec
loss_fct,0.5350789198808512,top2vec
beta,0.5,bert_hdbscan
nb_topic_before_agg,106.0,bert_hdbscan
nb_topic_after_agreg,18.0,bert_hdbscan
min_ngram,2.0,bert_hdbscan
max_ngram,3.0,bert_hdbscan
loss_fct,0.5547618372741707,bert_hdbscan
beta,0.5,nmf_kullback
nb_topic_before_agg,75.0,nmf_kullback
nb_topic_after_agreg,16.0,nmf_kullback
min_ngram,2.0,nmf_kullback
max_ngram,3.0,nmf_kullback
loss_fct,0.5356322189894805,nmf_kullback
beta,0.5,blend_model
nb_topic_before_agg,20.0,blend_model
nb_topic_after_agreg,20.0,blend_model
min_ngram,2.0,blend_model
max_ngram,3.0,blend_model
loss_fct,0.49597855212895386,blend_model
